2003,300F2-2,HUAYACOCOTLA,,,,,,,S
2003A,I-30-003-03,PLAZA COMUNITARIA HUAYACOCOTLA,,HUAYACOCOTLA,,HUAYACOCOTLA,,,S
2003B,I-30-004-03,PLAZA COMUNITARIA ZONTECOMATLAN,,ZONTECOMATLAN,,ZONTECOMATLAN,,,S
2003C,I-30-004-04,PLAZA COMUNITARIA TEXCATEPEC,,TEXCATEPEC,,TEXCATEPEC,,,S
2003D,I-30-005-05,PLAZA COMUNITARIA ZACUALPAN,,,,,,,S
2003E,,PLAZA COMUNITARIA ILAMATLAN,,,,,,,S
3001,3001,TANTOYUCA,,,,,,,S
3001-1,3001-1,COORDINACION DE ZONA CERO REZAGO PANUCO,,,,,,,S
3001A,I-30-016-02,PLAZA COMUNITARIA TANTOYUCA,,TANTOYUCA,,TANTOYUCA,,,S
3001B,I-30-054-03,PLAZA COMUNITARIA PLATON SANCHEZ,,PLATON SANCHEZ,,PLATON SANCEZ,,,S
3001C,I-30-043-03,PLAZA COMUNITARIA TEMPOAL,,TEMPOAL,,TEMPOAL,,,S
3001D,I-30-020-02,PLAZA COMUNITARIA PANUCO,,PANUCO,,PANUCO,,,S
3001E,I-30-001-03,PLAZA COMUNITARIA CHALMA,,CHALMA,,CHALMA,,,S
3001F,I-30-001-04,PLAZA COMUNITARIA ACECECA,,ACECECA,,TANTOYUCA,,,S
3002,3002,NARANJOS,,,,,,,S
3002-2,3002-2,COORDINACION DE ZONA CERO REZAGO PUEBLO VIEJO,,,,,,,S
3002A,I-30-063-03,PLAZA COMUNITARIA PUEBLO VIEJO,,PUEBLO VIEJO,,PUEBLO VIEJO,,,S
3002B,I-30-061-03,PLAZA COMUNITARIA OZULUAMA DE MASCAREÑAS,,OZULUAMA DE MASCAREÑAS,,OZULUAMA DE MASCAREÑAS,,,S
3002C,I-30-048-03,PLAZA COMUNITARIA TANTIMA,,TANTIMA,,TANTIMA,,,S
3002D,I-30-002-03,PLAZA COMUNITARIA CHINAMPA DE GOROSTIZA,,KILOMETRO 22,,CHINAMPA DE GOROSTIZA,,,S
3002E,I-30-023-02,PLAZA COMUNITARIA CHONTLA,,CHONTLA,,CHONTLA,,,S
3002F,I-30-006-02,PLAZA COMUNITARIA NARANJOS DE AMATLAN,,NARANJOS DE AMATLAN,,NARANJOS DE AMATLAN,,,S
3002G,I-30-006-03,PLAZA COMUNITARIA IXCATEPEC,,IXCATEPEC,,IXCATEPEC,,,S
3003,3003,CHICONTEPEC,,,,,,,S
3003-3,3003-3,COORDINACION DE ZONA CERO REZAGO CHICONTEPEC,,,,,,,S
3003A,I-30-007-03,PLAZA COMUNITARIA BENITO JUAREZ,,PILPUERTA,,BENITO JUAREZ,,,S
3004,3004,TUXPAN,,,,,,,S
3004A,I-30-008-03,PLAZA COMUNITARIA SANTIAGO DE LA PEÑA,,SANTIAGO DE LA PEÑA,,SANTIAGO DE LA PEÑA,,,S
3004B,I-30-007-02,PLAZA COMUNITARIA TAMIAHUA,,TAMIAHUA,,TAMIAHUA,,,S
3004I,3004I,DEPTO. DE EDUCACIÓN INDÍGENA,,,,,,,S
3005,3005,POZA RICA,,,,,,,S
3005-5,3005-5,COORDINACION DE ZONA CERO REZAGO COATZINTLA TIHUATLAN,,,,,,,S
3005A,I-30-003-02,PLAZA COMUNITARIA POZA RICA,,POZA RICA,,POZA RICA,,,S
3005B,I-30-011-03,PLAZA COMUNITARIA CAZONES,,CAZONES,,CAZONES,,,S
3005C,I-30-042-03,PLAZA COMUNITARIA COATZINTLA,,COATZINTLA,,COATZINTLA,,,S
3006,3006,PAPANTLA,,,,,,,S
3006-6,3006-6,COORDINACION DE ZONA CERO REZAGO PAPANTLA,,,,,,,S
3006A,I-30-013-03,PLAZA COMUNITARIA PAPANTLA,,CARRIZAL,,PAPANTLA,,,S
3006B,I-30-008-02,PLAZA COMUNITARIA NAUTLA,,NAUTLA,,NAUTLA,,,S
3006C,I-30-049-03,PLAZA COMUNITARIA TECOLUTLA,,HUEYTEPEC,,TECOLUTLA,,,S
3006D,I-30-057-03,PLAZA COMUNITARIA MESA CHICA LA GLORIA,,MESA CHICA LA GLORIA,,PAPANTLA,,,S
3006E,I-30-012-03,PLAZA COMUNITARIA VEGA DE ALA TORRE,,VEGA DE ALA TORRE,,VEGA DE ALA TORRE,,,S
3006F,,PLAZA COMUNITARIA AGUA DULCE,,AGUA DULCE,,PAPANTLA,,,S
3006G,,PLAZA COMUNITARIA GUTIERREZ ZAMORA,,,,,,,S
3007,3007,ESPINAL,,,,,,,S
3007A,I-30-009-02,PLAZA COMUNITARIA ESPINAL,,ESPINAL,,ESPINAL,,,S
3007B,I-30-014-03,PLAZA COMUNITARIA CHUMATLAN,,CHUMATLAN,,CHUMATLAN,,,S
3007C,I-30-015-03,PLAZA COMUNITARIA COXQUIHUI,,COXQUIHUI,,COXQUIHUI,,,S
3007D,I-30-016-03,PLAZA COMUNITARIA MECATLAN,,MECATLAN,,MECATLAN,,,S
3007E,I-30-017-03,PLAZA COMUNITARIA COYUTLA,,COYUTLA,,COYUTLA,,,S
3007F,I-30-018-03,PLAZA COMUNITARIA FILOMENO MATA,,FILOMENO MATA,,FILOMENO MATA,,,S
3008,3008,MARTINEZ DE LA TORRE,,,,,,,S
3008-8,3008-8,COORDINACION DE ZONA CERO REZAGO MARTINEZ DE LA TORRE,,,,,,,S
3008-8A,3008-8A,COORDINACION DE ZONA CERO REZAGO MISANTLA,,,,,,,S
3008A,I-30-022-03,PLAZA COMUNITARIA YECUATLA,,YECUATLA,,YECUATLA,,,S
3008B,I-30-021-03,PLAZA COMUNITARIA TENOCHTITLAN,,TENOCHTITLAN,,TENOCHTITLAN,,,S
3008C,I-30-020-03,PLAZA COMUNITARIA COLIPA,,COLIPA,,COLIPA,,,S
3008D,I-30-019-03,PLAZA COMUNITARIA JUCHIQUE DE FERRER,,JUCHIQUE DE FERRER,,JUCHIQUE DE FERRER,,,S
3008E,I-30-017-02,PLAZA COMUNITARIA TLAPACOYAN,,TLAPACOYAN,,TLAPACOYAN,,,S
3008F,,PLAZA COMUNITARIA MISANTLA,,,,,,,S
3008G,,PLAZA COMUNITARIA MARTINEZ DE LA TORRE,,,,,,,S
3009,3009,PEROTE,,,,,,,S
3009-9,3009-9,COORDINACION DE ZONA CERO REZAGO PEROTE,,,,,,,S
3009A,I-30-024-03,PLAZA COMUNITARIA LOS PESCADOS,,LOS PESCADOS,,PEROTE,,,S
3009B,I-30-025-03,PLAZA COMUNITARIA LAS VIGAS DE RAMIREZ,,LAS VIGAS DE RAMIREZ,,LAS VIGAS DE RAMIREZ,,,S
3009C,I-30-023-03,PLAZA COMUNITARIA LA GLORIA,,LA GLORIA,,PEROTE,,,S
3009D,I-30-018-02,PLAZA COMUNITARIA LA LIBERTAD,,LA LIBERTAD,,PEROTE,,,S
3009E,3009E,PLAZA COMUNITARIA LOS MOLINOS,,,,,,,S
3009F,I-30-004-05,PLAZA COMUNITARIA  ALTOTONGA,,,,,,,S
3009G,,PLAZA COMUNITARIA  VILLA ALDAMA,,,,,,,S
300A,300A,DIRECCION GENERAL,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,"Xalapa, Ver.",91120,Xalapa,(228) 8147137,(228) 8147157,S
300B,300B,SUBDIRECCIÓN DE CONCERTACIÓN Y SEGUIMIENTO OPERATIVO,Av. de las Americas No. 270 Col. Maria Esther,"Xalapa, Ver.",91030,Xalapa,,,S
300B1,300B1,DEPARTAMENTO DE SEGUIMIENTO Y VINCULACIÓN,,,,,,,S
300B2,300B2,DEPARTAMENTO DE PLAZAS COMUNITARIAS,,,,,,,S
300B3,300B3,DEPARTAMENTO DE CONTROL TECNICO EDUCATIVO,,,,,,,S
300B4,300B4,DEPARTAMENTO DE EVALUACION Y ESTADISTICA,,,,,,,S
300C,300C,SUBDIRECCION ADMINISTRATIVA,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,"Xalapa, Ver.",91330,Xalapa,,,S
300C1,300C1,DEPARTAMENTO DE RECURSOS FINANCIEROS,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300C2,300C2,DEPARTAMENTO DE RECURSOS MATERIALES Y SERVICIOS GENERALES,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300C3,300C3,DEPARTAMENTO DE RECURSOS HUMANOS,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300C4,300C4,ALMACEN ESTATAL,,,,,,,S
300C5,300C5,BODEGA DE ALMACEN ESTATAL,,,,,,,S
300C6,300C6,DEPARTAMENTO DE TECNOLOGÌAS DE LA INFORMACIÒN,,,,,,,S
300C7,300C7,ALMACEN ESTATAL,,,,,,,S
300D,300D,DEPARTAMENTO DE CONTROL DOCUMENTAL,Av.de las Americas No.270 Col. Maria Esther,,,,,,S
300E,300E,SUBDIRECCION DE ACREDITACION Y SISTEMAS DE CONTROL EDUCATIVO,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300E1,300E1,DEPARTAMENTO DE CERTIFICACIÓN,,,,,,,S
300E2,300E2,DEPARTAMENTO DE CALIDAD Y EVALUACION DEL APRENDIZAJE,,,,,,,S
300E3,300E3,DEPARTAMENTO DE ACREDITACION,,,,,,,S
300E4,300E4,"DEPARTAMENTO DE SISTEMA, AUTOMATIZADO DE SEGUIMIENTO Y ACRED",,,,,,,S
300E5,300E5,ELIMINAR DEPARTAMENTO DE CERTIFICACIÓN,,,,,,,S
300F,300F,SUBDIRECCION DE PLANEACION PROGRAMACION Y PRESUPUESTACIÓN,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300F1,300F1,DEPARTAMENTO DE PROGRAMACIÓN,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300F2,300F2,DEPARTAMENTO DE PRESUPUESTACIÓN,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300F3,300F3,DEPARTAMENTO DE PLANEACIÓN Y EVALUACIÓN,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300G,300G,DEPARTAMENTO JURIDICO,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300H,300H,DEPTO. DE CONCERTACION Y DIFUSION,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300I,300I,SUBDIRECCION DE SERVICIOS EDUCATIVOS,Av. Lazaro Cardenas No. 726 Col. Heroes Ferrocarri,,,,,,S
300I1,300I1,DEPARTAMENTO DE EDUCACIÓN HISPANOHABLANTE,,,,,,,S
300I2,300I2,DEPARTAMENTO DE FORMACIÓN Y DESARROLLO EDUCATIVO,,,,,,,S
300I3,300I3,DEPARTAMENTO DE EDUCACION INDÍGENA,,,,,,,S
300I4,300I4,DEPARTAMENTO DE EDUCACION,,,,,,,S
300K,300K,"PATRONATO DE FOMENTO EDUCATIVO, A.C.",,VERACRUZ,,XALAPA,,,S
300M,300M,DEPARTAMENTO DE DISEÑO Y DIFUSIÓN EDUCATIVA,Av. de las Americas No. 270 Col. Maria Esther,,91030,,,,S
300N,300N,SUBDIRECCIÓN DE ATENCIÓN TERRITORIAL,,,,,,,S
300Ñ,300Ñ,UNIDAD DE ACCESO A LA INFORMACIÓN PÚBLICA,,,,,,,S
300O,300O,UNIDAD DE GÉNERO,,,,,,,S
300P,300P,ÁREAS DE APOYO A LA DIRECCIÓN GENERAL,,,,,,,S
300R,300R,PROGRAMA CERO REZAGO EDUCATIVO,,VERACRUZ,,XALAPA,,,S
300S,300S,S. N. T. E. A.,,,,,,,S
300T,300T,BAJAS DE GOBIERNO DEL ESTADO,,VERACRUZ,,XALAPA,,,S
300T1,300T1,BAJAS DE GOBIERNO DEL ESTADO,,,,,,,S
300T2,300T2,BAJAS PARA TRAMITE DE GOBIERNO DEL ESTADO,,,,,,,S
300T3,300T3,BAJAS DE GOBIERNO DEL ESTADO,,,,,,,S
300T4,300T4,BIENES TRAMITADOS PARA BAJA,,,,,,,S
300T5,300T5,BIENES TRAMITADOS PARA BAJA,,,,,,,S
300U,300U,COORDINACION REGIONAL SUR,,,,,,,S
300V,300V,COLEGIO DE EDUCADORES PARA ADULTOS,,,,,,,S
300W,300W,COORDINACION REGIONAL CENTRO,,,,,,,S
300X,300X,ELABORADO PARA TRAMITE DE BAJA: EXTRAVIO,,,,,,,S
300Y,300Y,U. C. I. A. C.,,VERACRUZ,,XALAPA,,,S
300Z,300Z,COORDINACION REGIONAL NORTE,,,,,,,S
3010,3010,XALAPA,,,,,,,S
3010-10,3010-10,COORDINACION DE ZONA CERO REZAGO XALAPA,,,,,,,S
3010A,I-30-027-03,PLAZA COMUNITARIA DELEGACION ESTE,,XALAPA,,XALAPA,,,S
3010B,I-30-028-03,PLAZA COMUNITARIA DELEGACION NORTE,,XALAPA,,XALAPA,,,S
3010C,I-30-002-02,PLAZA COMUNITARIA XALAPA-COORDINACION DE ZONA,,XALAPA,,XALAPA,,,S
3010D,I-30-030-03,PLAZA COMUNITARIA BANDERILLA,,BANDERILLA,,BANDERILLA,,,S
3010E,I-30-029-03,PLAZA COMUNITARIA NAOLINCO,,NAOLINCO,,NAOLINCO,,,S
3010F,I-30-010-05,PLAZA COMUNITARIA XALLAPAN,,,,,,,S
3010G,D-30-001-03,PLAZA EN DESARROLLO BANDERILLA,,,,,,,S
3010H,D-30-002-03,PLAZA EN DESARROLLO SEGURIDAD PUBLICA XALAPA,,XALAPA,,XALAPA,,,S
3010I,3010I,PLAZA COMUNITARIA EN DESARROLLO ACATLAN,,,,,,,S
3011,3011,COATEPEC,,,,,,,S
3011-11,3011-11,COORDINACION DE ZONA CERO REZAGO COATEPEC,,,,,,,S
3011A,I-30-019-02,PLAZA COMUNITARIA LA ESTANZUELA,,LA ESTANZUELA,,EMILIANO ZAPATA,,,S
3011B,I-30-052-03,PLAZA COMUNITARIA ACTOPAN,,ACTOPAN,,ACTOPAN,,,S
3011C,,PLAZA COMUNITARIA PACHO VIEJO,,COATEPEC,,COATEPEC,,,S
3011D,I-30-010-02,PLAZA COMUNITARIA XICO,,XICO,,XICO,,,S
3011E,I-30-005-04,PLAZA COMUNITARIA  ALTO LUCERO,,,,,,,S
3011F,D-30-001-07,PLAZA EN DESARROLLO INJUVER TEOCELO,,,,,,,S
3012,3012,HUATUSCO,,,,,,,S
3012-12,3012-12,COORDINACION DE ZONA CERO REZAGO HUATUSCO,,,,,,,S
3012A,I-30-011-02,PLAZA COMUNITARIA COSCOMATEPEC,,COSCOMATEPEC,,COSCOMATEPEC,,,S
3012B,I-30-031-03,PLAZA COMUNITARIA TOTUTLA,,TOTUTLA,,TOTUTLA,,,S
3012C,,PLAZA COMUNITARIA CALCAHUALCO,,,,,,,S
3012D,,PLAZA COMUNITARIA,,,,,,,S
3013,3013,ORIZABA,,,,,,,S
3013-13,3013-13,COORDINACION DE ZONA CERO REZAGO ORIZABA,,,,,,,S
3013-13A,3013-13A,COORDINACION DE ZONA CERO REZAGO IXTACZOQUITLAN,,,,,,,S
3013A,I-30-033-03,PLAZA COMUNITARIA NOGALES,,NOGALES,,NOGALES,,,S
3013B,I-30-032-03,PLAZA COMUNITARIA ACULTZINGO,,ACULTZINGO,,ACULTZINGO,,,S
3013C,I-30-059-03,PLAZA COMUNITARIA CAMERINO Z. MENDOZA,,CAMERINO Z. MENDOZA,,CAMERINO Z. MENDOZA,,,S
3013D,I-30-021-02,PLAZA COMUNITARIA ORIZABA,,ORIZABA,,ORIZABA,,,S
3013E,I-30-002-05,PLAZA COMUNITARIA RAFAEL DELGADO,,,,,,,S
3013F,I-30-001-05,PLAZA COMUNITARIA JALAPILLA,,,,,,,S
3013G,I-30-001-08,PLAZA COMUNITARIA IXTACZOQUITLAN,,,,,,,S
3013H,,PLAZA COMUNITARIA CENTRO INTEGRAL ORIZABA,,ORIZABA,,ORIZABA,,,S
3014,3014,CORDOBA,,,,,,,S
3014-14,3014-14,COORDINACION DE ZONA CERO REZAGO CORDOBA,,,,,,,S
3014A,I-30-060-03,PLAZA COMUNITARIA CUITLAHUAC,,CUITLAHUAC,,CUITLAHUAC,,,S
3014B,I-30-007-05,PLAZA COMUNITARIA EL NEGRO YANGA,,,,,,,S
3014C,,PLAZA COMUNITARIA CORDOBA,ANTES PLAZA COMUNITARIA DE TANTIMA,,,,,,S
3014D,,PLAZA COMUNITARIA FORTIN DE LAS FLORES,,,,,,,S
3015,3015,ZONGOLICA,,,,,,,S
3015-15,3015-15,COORDINACION DE ZONA CERO REZAGO ZONGOLICA,,,,,,,S
3015A,I-30-050-03,PLAZA COMUNITARIA ZONGOLICA,,ZONGOLICA,,ZONGOLICA,,,S
3016,3016,VERACRUZ,,,,,,,S
3016-16,3016-16,COORDINACION DE ZONA CERO REZAGO VERACRUZ,,,,,,,S
3016A,I-30-062-03,PLAZA COMUNITARIA PASO DE OVEJAS,,PASO DE OVEJAS,,PASO DE OVEJAS,,,S
3016B,I-30-012-02,PLAZA COMUNITARIA CARDEL,,CARDDEL,,LA ANTIGUA,,,S
3016C,I-30-035-03,PLAZA COMUNITARIA CHICHICAXTLE,,CHICHICAXTLE,,PUENTE NACIONAL,,,S
3016D,I-30-036-03,PLAZA COMUNITARIA SOLEDAD DE DOBLADO,,SOLEDAD DE DOBLADO,,SOLEDAD DE DOBLADO,,,S
3016E,,PLAZA COMUNITARIA VERACRUZ BONFIL,,,,,,,S
3017,3017,BOCA DEL RIO,,,,,,,S
3017-17,3017-17,COORDINACION DE ZONA CERO REZAGO BOCA DEL RIO,,,,,,,S
3017A,I-30-055-03,PLAZA COMUNITARIA ALVARADO,,ALVARADO,,ALVARADO,,,S
3017B,I-30-056-03,PLAZA COMUNITARIA IGNACIO DE LA LLAVE,,IGNACIO DE LA LLAVE,,IGNACIO DE LA LLAVE,,,S
3017C,I-30-004-02,PLAZA COMUNITARIA BOCA DEL RIO,,BOCA DEL RIO,,BOCA DEL RIO,,,S
3017D,I-30-013-02,PLAZA COMUNITARIA TLALIXCOYAN,,TLALIXCOYAN,,TLALIXCOYAN,,,S
3017E,I-30-058-03,PLAZA COMUNITARIA ANGEL R. CABADA,,ANGEL R. CABADA,,ANGEL R. CABADA,,,S
3017F,I-30-008-05,PLAZA COMUNITARIA LERDO DE TEJADA,,,,,,,S
3017G,I-30-053-03,PLAZA COMUNITARIA JAMAPA,"AV. PONIENTE No.1, ESQ. SUR 7, CENTRO SALUD",,,,,,S
3017H,,PLAZA COMUNITARIA BOCA DEL RIO,,,,,,,S
3018,3018,TIERRA BLANCA,,,,,,,S
3018-18,3018-18,COORDINACION DE ZONA CERO REZAGO TIERRA BLANCA-COSAMALOAPAN,,,,,,,S
3018A,I-30-037-03,PLAZA COMUNITARIA COTAXTLA,,COTAXTLA,,COTAXTLA,,,S
3018B,I-30-022-02,PLAZA COMUNITARIA TIERRA BLANCA,,TIERRA BLANCA,,TIERRA BLANCA,,,S
3019,3019,COSAMALOAPAN,,,,,,,S
3019A,I-30-038-03,PLAZA COMUNITARIA CHACALTIANGUIS,,CHACALTIANGUIS,,CHACALTIANGUIS,,,S
3019B,I-30-044-03,PLAZA COMUNITARIA AMATITLAN,,AMATITLAN,,AMATITLAN,,,S
3019C,I-30-034-03,PLAZA COMUNITARIA TLACOTALPAN,,TLACOTALPAN,,TLACOTALPAN,,,S
3019D,I-30-026-03,PLAZA COMUNITARIA  OTATITLAN,,OTATITLAN,,OTATITLAN,,,S
3019E,I-30-009-05,PLAZA COMUNITARIA NOPALTEPEC,,,,,,,S
3019F,3019F,PLAZA EN DESARROLLO OTATITLAN,,,,,,,S
3020,3020,SAN ANDRES TUXTLA,,,,,,,S
3020-20,3020-20,COORDINACION DE ZONA CERO REZAGO SANTIAGO TUXTLA,,,,,,,S
3020A,I-30-045-03,PLAZA COMUNITARIA CIUDAD ISLA,,CIUDAD ISLA,,CIUDAD ISLA,,,S
3020B,I-30-024-02,PLAZA COMUNITARIA SAN ANDRES TUXTLA,,SAN ANDRES TUXTLA,,SAN ANDRES TUXTLA,,,S
3020C,I-30-001-02,PLAZA COMUNITARIA LA NUEVA VICTORIA,,LA NUEVA VICTORIA,,SAN ANDRES TUXTLA,,,S
3020D,I-30-040-03,PLAZA COMUNITARIA HUEYAPAN DE OCAMPO,MELCHOR OCAMPO S/N COLONIA CENTRO,HUEYAPAN DE OCAMPO,95850,HUEYAPAN DE OCAMPO,,,S
3021,3021,ACAYUCAN,,,,,,,S
3021-21,3021-21,COORDINACION DE ZONA ACAYUCAN,,,,,,,S
3021-21A,3021-21A,COORDINACION DE ZONA RODRIGUEZ CLARA,,,,,,,S
3021A,I-30-014-02,PLAZA COMUNITARIA SAYULA DE ALEMAN,,SAYULA DE ALEMAN,,SAYULA DE ALEMAN,,,S
3021B,I-30-002-04,PLAZA COMUNITARIA SOCONUSCO,,SOCONUSCO,,SOCONUSCO,,,S
3021C,,PLAZA COMUNITARIA ACAYUCAN,,,,,,,S
3022,3022,MINATITLAN,,,,,,,S
3022-22,3022-22,COORDINACION DE ZONA CERO REZAGO COSOLEACAQUE,,,,,,,S
3022-22A,3022-22A,COORDINACION DE ZONA CERO REZAGO COSOLEACAQUE,,,,,,,S
3022A,I-30-041-03,PLAZA COMUNITARIA COSOLEACAQUE,,COSOLEACAQUE,,COSOLEACAQUE,,,S
3022B,I-30-025-02,PLAZA COMUNITARIA MINATITLAN,,MINATITLAN,,MINATITLAN,,,S
3022C,I-30-046-03,PLAZA COMUNITARIA UXPANAPA,,UXPANAPA,,UXPANAPA,,,S
3022D,I-30-006-05,PLAZA COMUNITARIA TATAHUICAPAN,,,,,,,S
3022E,I-30-003-05,PLAZA COMUNITARIA JALTIPAN,,,,,,,S
3022F,I-30-003-04,PLAZA COMUNITARIA CHINAMECA,,,,,,,S
3022G,,PLAZA COMUNITARIA SOTEPAN,,,,,,,S
3022H,,PLAZA COMUNITARIA HIDALGOTITLAN,,,,,,,S
3023,3023,COATZACOALCOS,,,,,,,S
3023-23,3023-23,COORDINACION DE ZONA CERO REZAGO COATZACOALCOS,,,,,,,S
3023A,I-30-047-03,PLAZA COMUNITARIA AGUA DULCE,,AGUA DULCE,,AGUA DULCE,,,S
3023B,I-30-015-02,PLAZA COMUNITARIA NANCHITAL,,NANCHITAL,,NANCHITAL,,,S
3023C,I-30-005-02,PLAZA COMUNITARIA COATZACOALCOS,,COATZACOALCOS,,COATZACOALCOS,,,S
305E,305E,DEPTO. DE DESARROLLO Y MANTENIMIENTO SISTEMAS,,,,,,,S
ALTA,ALTA,DEPTO. SIN RELACION EN PLANTILLA,,,,,,,S
BAJAS,BAJAS,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL10,JL10,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL11,JL11,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL12,JL12,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL13,JL13,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL14,JL14,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL15,JL15,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL16,JL16,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL17,JL17,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL18,JL18,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL19,JL19,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL20,JL20,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL21,JL21,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL22,JL22,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL23,JL23,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL24,JL24,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL25,JL25,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL26,JL26,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL27,JL27,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL28,JL28,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL29,JL29,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL30,JL30,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL31,JL31,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL32,JL32,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL33,JL33,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL34,JL34,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL35,JL35,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL36,JL36,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL37,JL37,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL38,JL38,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL39,JL39,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL40,JL40,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL41,JL41,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL42,JL42,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL43,JL43,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL44,JL44,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JL45,JL45,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JLM3,JLM3,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JLM4,JLM4,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JLM5,JLM5,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JLM6,JLM6,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JLM7,JLM7,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JLM8,JLM8,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
JLM9,JLM9,ELABORADO PARA TRAMITE DE BAJA,,,,,,,S
